sku,name,price,qty,year,capacitate_motor,power,horsepower,engcode,is_in_stock,attribute_set,type,store,att_eby_title,att_eby_subtitle,description,manage_stock,use_config_manage_stock,status,visibility,tax_class_id,thumbnail,small_image,image,media_gallery,att_amz_title,categories,marca_masina,model_auto,motorizare,carcolor
630436,MOTOR -  MONDEO 3,1665,1,2004,1800-2000 cmc,85,115,WF05XXGBB54S84940,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 1998CC, 85KW, 115CP, WF05XXGBB54S84940",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," MONDEO 3"," Diesel",
630437,MOTOR -  MONDEO 3,1665,1,2001,1800-2000 cmc,85,115,WF04XXGBB41D84637,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2001, 1998CC, 85KW, 115CP, WF04XXGBB41D84637",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,FORD," MONDEO 3","Diesel ",
630438,MOTOR -  X-TYPE,1800,1,2004,2000-2800 cmc,115,156,SAJG52S05YE19720,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 2099CC, 115KW, 156CP, SAJG52S05YE19720",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"JAGUAR "," X-TYPE"," Benzina",
630439,MOTOR -  FREELANDER,1800,1,1999,1600-1800 cmc,88,120,SALLNABA7XA682705,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1999, 1796CC, 88KW, 120CP, SALLNABA7XA682705",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,LAND ROVER," FREELANDER","  Benzina"," VERDE"
630440,MOTOR -  FREELANDER,2160,1,1999,1600-1800 cmc,88,120,SALLNABA71A354111,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1999, 1796CC, 88KW, 120CP, SALLNABA71A354111",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,LAND ROVER," FREELANDER"," Benzina ",- ALBASTRU 608 (8)
630441,MOTOR - FREELANDER,1800,1,2000,1800-2000 cmc,72,98,SALLNABE71A586719,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2000, 1994CC, 72KW, 98CP, SALLNABE71A586719",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"LAND ROVER ",FREELANDER," Benzina ",ARGINTIU
630442,MOTOR -  FREELANDER,1800,1,2002,1800-2000 cmc,80,109,SALLNABE73A286457,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1951CC, 80KW, 109CP, SALLNABE73A286457",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,LAND ROVER," FREELANDER"," Diesel"," - ARGINTIU 737 (1)"
630443,MOTOR -  FREELANDER,1800,1,2002,1800-2000 cmc,,,SALLNABE12A384814,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1951CC, -KW, -CP, SALLNABE12A384814",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,LAND ROVER," FREELANDER",Diesel," - ALBASTRU 644 (58)"
630444,"MOTOR -  FREELANDER ",2160,1,2003,1800-2000 cmc,,,SALLNAAE73A267503,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1951CC, -KW, -CP, SALLNAAE73A267503",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,LAND ROVER," FREELANDER ",Diesel,"  - ARGINTIU 737 (59)"
630446,MOTOR - FREELANDER,1980,1,2002,1800-2000 cmc,84,112,SALLNABE72A214420,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1951CC, 84KW, 112CP, SALLNABE72A214420",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"LAND ROVER ",FREELANDER," Diesel"," - ALBASTRU 644 (66)"
630447,MOTOR -  307SW,1800,1,2004,1800-2000 cmc,66,90,WF33ERHYB82791872,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 1997CC, 66KW, 90CP, WF33ERHYB82791872",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,PEUGEOT," 307SW"," Diesel",
630448,MOTOR - 307SW,2250,1,2004,1200-1600 cmc,80,109,VF33H9HZC83681793,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 1560CC, 80KW, 109CP, VF33H9HZC83681793",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"PEUGEOT ",307SW,Diesel,
630449,MOTOR -  307SW,1530,1,2003,1800-2000 cmc,66,90,VF33HRHYB83072651,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1997CC, 66KW, 90CP, VF33HRHYB83072651",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,PEUGEOT," 307SW",Diesel,
630450,MOTOR -  406SW,1530,1,2003,1800-2000 cmc,79,107,VF38ERHZF81578566,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1997CC, 79KW, 107CP, VF38ERHZF81578566",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,PEUGEOT," 406SW"," Diesel",
630451,MOTOR -  75,1890,1,2002,1800-2000 cmc,85,115,SARRJZLCH3D266730,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1950CC, 85KW, 115CP, SARRJZLCH3D266730",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,ROVER," 75"," Diesel",
630452,MOTOR -  75,1890,1,2003,1800-2000 cmc,96,131,SARRJZTHC4D314675,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1951CC, 96KW, 131CP, SARRJZTHC4D314675",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,ROVER," 75"," Benzina",
630453,MOTOR -  TOLEDO,1395,1,1999,1800-2000 cmc,81,110,VSSZZZ1MZXB029917,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"1999, 1896CC, 81KW, 110CP, VSSZZZ1MZXB029917",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,SEAT," TOLEDO",Benzina,
630454,MOTOR - FABIA,1440,1,2002,1800-2000 cmc,47,64,TMBNF46YX23552454,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1896CC, 47KW, 64CP, TMBNF46YX23552454",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,SKODA,FABIA," Diesel",
630456,MOTOR -  FORFOUR,1620,1,2006,1000-1200 cmc,47,64,WME4540332B108258,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2006, 1124CC, 47KW, 64CP, WME4540332B108258",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,SMART," FORFOUR"," Benzina"," ROSU"
630457,MOTOR -  FORFOUR,1620,1,2004,1000-1200 cmc,55,75,WME4540302B053486,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2004, 1124CC, 55KW, 75CP, WME4540302B053486",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,SMART," FORFOUR",Benzina," NEGRU "
630458,MOTOR - FORFOUR,1620,1,2005,1200-1400 cmc,70,95,WME4540312B093459,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2005, 1332CC, 70KW, 95CP, WME4540312B093459",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"SMART ",FORFOUR,Benzina,
630459,MOTOR -  S60,1620,1,2003,1800-2000 cmc,132,180,YV1RS49K232267318,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1984CC, 132KW, 180CP, YV1RS49K232267318",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,VOLVO," S60"," Benzina",
630460,MOTOR - GOLF 4,1530,1,2001,1200-1600 cmc,77,105,WVWZZZ1JZ1P030952,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2001, 1595CC, 77KW, 105CP, WVWZZZ1JZ1P030952",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"VW ",GOLF 4," Benzina",
630461,"MOTOR - NEW BEETLE ",1800,1,2000,1800-2000 cmc,85,115,WVWZZZ9CZ1M602196,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2000, 1984CC, 85KW, 115CP, WVWZZZ9CZ1M602196",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"VW ","NEW BEETLE ",Benzina,
630462,"MOTOR - PASSAT ",1530,1,2001,1800-2000 cmc,96,130,WVWZZZ3BZ2P248439,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2001, 1896CC, 96KW, 130CP, WVWZZZ3BZ2P248439",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"VW ","PASSAT ",Diesel," ARGINTIU "
630463,"MOTOR - GOLF 4 ",1530,1,2003,1800-2000 cmc,74,101,WVWZZZ1JZ3W147153,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2003, 1896CC, 74KW, 101CP, WVWZZZ1JZ3W147153",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"VW ","GOLF 4 ",Diesel,
630464,"MOTOR - GOLF 4 ",1530,1,2002,1800-2000 cmc,74,101,WVWZZZ1JZ2U563047,1,Bloc Motor,simple,admin,MOTOR,MOTOR Subtitle,"2002, 1896CC, 74KW, 101CP, WVWZZZ1JZ2U563047",1,1,1,"Catalog, Search",None,,,,,amz_title,ANEXE MOTOR,"VW ","GOLF 4 ",Diesel,
630465,OGLINDA RETROVIZOARE -  A4,50,1,1998,1800-2000 cmc,81,110,WAUZZZ8DZXA067466,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"1998, 1896CC, 81KW, 110CP, WAUZZZ8DZXA067466",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,AUDI," A4"," Diesel",
630466,OGLINDA RETROVIZOARE -  318I,50,1,2001,1800-2000 cmc,87,118,WBAAL32080FX48449,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2001, 1895CC, 87KW, 118CP, WBAAL32080FX48449",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,BMW," 318I","  Benzina",
630467,OGLINDA RETROVIZOARE -  320D,50,1,2002,1800-2000 cmc,110,150,WBAAS72070FY57205,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1995CC, 110KW, 150CP, WBAAS72070FY57205",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,BMW," 320D"," Diesel",
630468,OGLINDA RETROVIZOARE -  320D,50,1,2001,1800-2000 cmc,100,136,WBAAL72009AK82292,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2001, 1951CC, 100KW, 136CP, WBAAL72009AK82292",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,BMW," 320D"," Diesel",
630469,OGLINDA RETROVIZOARE -  FOCUS 1,50,1,2004,1200-1600 cmc,74,100,WF0AXXWPDA4A63485,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 1596CC, 74KW, 100CP, WF0AXXWPDA4A63485",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,FORD," FOCUS 1","  Benzina",
630470,"OGLINDA RETROVIZOARE - FOCUS 1 ",50,1,1999,1200-1600 cmc,74,100,WF0AXXGCDAXE14405,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"1999, 1596CC, 74KW, 100CP, WF0AXXGCDAXE14405",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"FORD ","FOCUS 1 ",Benzina,
630471,OGLINDA RETROVIZOARE -  FOCUS 1,50,1,2003,1600-1800 cmc,74,100,WF0AXXGCDA3J45658,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1753CC, 74KW, 100CP, WF0AXXGCDA3J45658",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,FORD," FOCUS 1"," Diesel",
630472,OGLINDA RETROVIZOARE -  FOCUS 1,50,1,2003,1600-1800 cmc,55,75,WF0NXXGCDN3L46597,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1753CC, 55KW, 75CP, WF0NXXGCDN3L46597",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,FORD," FOCUS 1"," Diesel ",
630473,OGLINDA RETROVIZOARE -  FOCUS 2,50,1,2006,1200-1600 cmc,66,90,WF0WXXGCDW6T32603,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2006, 1560CC, 66KW, 90CP, WF0WXXGCDW6T32603",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,FORD," FOCUS 2"," Diesel",
630474,OGLINDA RETROVIZOARE -  FOCUS 2,50,1,2005,1200-1600 cmc,80,109,WF05XXWPD55D39374,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2005, 1560CC, 80KW, 109CP, WF05XXWPD55D39374",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,FORD," FOCUS 2"," Diesel",
630475,OGLINDA RETROVIZOARE -  X-TYPE,50,1,2004,2000-2800 cmc,115,156,SAJG52S05YE19720,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 2099CC, 115KW, 156CP, SAJG52S05YE19720",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"JAGUAR "," X-TYPE"," Benzina",
630476,OGLINDA RETROVIZOARE -  FREELANDER,50,1,1999,1600-1800 cmc,88,120,SALLNABA7XA682705,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"1999, 1796CC, 88KW, 120CP, SALLNABA7XA682705",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,LAND ROVER," FREELANDER","  Benzina"," VERDE"
630477,OGLINDA RETROVIZOARE -  FREELANDER,50,1,2001,1600-1800 cmc,86,117,SALLNAAA71A304848,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2001, 1796CC, 86KW, 117CP, SALLNAAA71A304848",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,LAND ROVER," FREELANDER"," Benzina "," VERDE"
630478,"OGLINDA RETROVIZOARE - FREELANDER ",50,1,2001,1600-1800 cmc,86,117,SALLNABA7XA678078,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2001, 1796CC, 86KW, 117CP, SALLNABA7XA678078",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"LAND ROVER ","FREELANDER ","Benzina ",- VISINIU 601 (2)
630479,OGLINDA RETROVIZOARE -  FREELANDER,50,1,2002,1800-2000 cmc,80,109,SALLNABE73A286457,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1951CC, 80KW, 109CP, SALLNABE73A286457",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,LAND ROVER," FREELANDER"," Diesel"," - ARGINTIU 737 (1)"
630480,OGLINDA RETROVIZOARE -  FREELANDER,50,1,2002,1800-2000 cmc,,,SALLNABE12A384814,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1951CC, -KW, -CP, SALLNABE12A384814",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,LAND ROVER," FREELANDER",Diesel," - ALBASTRU 644 (58)"
630481,OGLINDA RETROVIZOARE - FREELANDER,50,1,2000,1800-2000 cmc,72,98,SALLNAAB7XA679207,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2000, 1951CC, 72KW, 98CP, SALLNAAB7XA679207",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"LAND ROVER ",FREELANDER,Diesel,"  - VISINIU 601 (6)"
630482,"OGLINDA RETROVIZOARE - FREELANDER ",50,1,2003,1800-2000 cmc,84,112,SALLNABE73A290058,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1951CC, 84KW, 112CP, SALLNABE73A290058",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"LAND ROVER ","FREELANDER ","Diesel ",- ARGINTIU 737 (60)
630483,OGLINDA RETROVIZOARE - FREELANDER,50,1,2002,1800-2000 cmc,84,112,SALLNABE72A214420,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1951CC, 84KW, 112CP, SALLNABE72A214420",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"LAND ROVER ",FREELANDER," Diesel"," - ALBASTRU 644 (66)"
630484,OGLINDA RETROVIZOARE -  FREELANDER,50,1,2003,1800-2000 cmc,80,109,SALLNANE72A389155,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1951CC, 80KW, 109CP, SALLNANE72A389155",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,LAND ROVER," FREELANDER",Diesel," NEGRU "
630485,OGLINDA RETROVIZOARE -  6,50,1,2005,1600-1800 cmc,88,120,JMZGG148201195421,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2005, 1798CC, 88KW, 120CP, JMZGG148201195421",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,MAZDA," 6"," Benzina ",
630486,OGLINDA RETROVIZOARE - 307SW,50,1,2004,1200-1600 cmc,80,109,VF33H9HZC83681793,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 1560CC, 80KW, 109CP, VF33H9HZC83681793",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"PEUGEOT ",307SW,Diesel,
630487,OGLINDA RETROVIZOARE -  406SW,50,1,2003,1800-2000 cmc,79,107,VF38ERHZF81578566,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1997CC, 79KW, 107CP, VF38ERHZF81578566",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,PEUGEOT," 406SW"," Diesel",
630488,OGLINDA RETROVIZOARE -  75,50,1,2002,1800-2000 cmc,85,115,SARRJZLCH3D266730,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1950CC, 85KW, 115CP, SARRJZLCH3D266730",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,ROVER," 75"," Diesel",
630489,OGLINDA RETROVIZOARE -  75,50,1,2003,1800-2000 cmc,96,131,SARRJZTHC4D314675,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2003, 1951CC, 96KW, 131CP, SARRJZTHC4D314675",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,ROVER," 75"," Benzina",
630490,OGLINDA RETROVIZOARE -  TOLEDO,50,1,1999,1800-2000 cmc,81,110,VSSZZZ1MZXB029917,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"1999, 1896CC, 81KW, 110CP, VSSZZZ1MZXB029917",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SEAT," TOLEDO",Benzina,
630491,OGLINDA RETROVIZOARE - FABIA,50,1,2002,1800-2000 cmc,47,64,TMBNF46YX23552454,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2002, 1896CC, 47KW, 64CP, TMBNF46YX23552454",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SKODA,FABIA," Diesel",
630492,OGLINDA RETROVIZOARE -  OCTAVIA,50,1,2005,1800-2000 cmc,66,90,TMBDG41U458794807,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2005, 1896CC, 66KW, 90CP, TMBDG41U458794807",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SKODA," OCTAVIA"," Diesel",
630493,OGLINDA RETROVIZOARE -  FORFOUR,50,1,2004,1000-1200 cmc,55,75,WME4540302B041526,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 1124CC, 55KW, 75CP, WME4540302B041526",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SMART," FORFOUR"," Benzina"," NEGRU"
630494,OGLINDA RETROVIZOARE -  FORFOUR,50,1,2004,1000-1200 cmc,55,75,WME4540302B053486,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 1124CC, 55KW, 75CP, WME4540302B053486",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SMART," FORFOUR",Benzina," NEGRU "
630495,OGLINDA RETROVIZOARE - FORFOUR,50,1,2005,1200-1400 cmc,70,95,WME4540312B093459,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2005, 1332CC, 70KW, 95CP, WME4540312B093459",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,"SMART ",FORFOUR,Benzina,
630496,OGLINDA RETROVIZOARE -  FORFOUR,50,1,2004,1200-1600 cmc,70,95,WME4540012B072895,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 1493CC, 70KW, 95CP, WME4540012B072895",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SMART," FORFOUR"," Diesel"," NEGRU"
630497,OGLINDA RETROVIZOARE -  FORTWO,50,1,1999,-1000 cmc,40,55,TCC01MC01XH007555,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"1999, 599CC, 40KW, 55CP, TCC01MC01XH007555",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SMART," FORTWO"," Benzina",
630498,OGLINDA RETROVIZOARE -  FORTWO,50,1,2004,-1000 cmc,,,WME4504322J056180,1,Bloc Motor,simple,admin,OGLINDA RETROVIZOARE,OGLINDA RETROVIZOARE Subtitle,"2004, 698CC, -KW, -CP, WME4504322J056180",1,1,1,"Catalog, Search",None,,,,,amz_title,ELEMENTE INTERIOR,SMART," FORTWO"," Diesel",
